product_name,geography,segment,verified_contacts,open_rate,reply_rate,best_send_days,compliance,source_url
Australia Consumer Email List,Australia,consumer email list,12000000,18-26%,3-7%,Tuesday; Wednesday; Thursday,The Spam Act 2003 requires consent (express or inferred) for commercial electronic messages. Inferred consent applies wh,https://leadsblue.com/leads/australia-consumer-email-database/
Canada Consumer Email Database,Canada,consumer email list,15000000,17-24%,3-6%,Tuesday; Wednesday; Thursday,"CASL (Canada's Anti-Spam Legislation) is among the world's strictest email marketing frameworks, with penalties up to C$",https://leadsblue.com/leads/canada-consumer-email-database/
United Kingdom Consumer Email List,United Kingdom,consumer email list,26000000,17-25%,3-6%,Tuesday; Wednesday; Thursday,UK GDPR and PECR (Privacy and Electronic Communications Regulations) jointly govern cold email. For emails to corporate ,https://leadsblue.com/leads/unitedkingdom-consumer-email-database/
France Consumer Mailing List,France,consumer email list,19000000,14-20%,2-4.5%,Tuesday; Wednesday; Thursday,France follows GDPR under CNIL (Commission Nationale de l'Informatique et des Libertés) oversight. CNIL guidance disting,https://leadsblue.com/leads/france-consumer-email-database/
Germany Consumer Email List,Germany,consumer email list,24000000,15-22%,2-5%,Tuesday; Wednesday; Thursday,"Germany is the strictest EU jurisdiction for B2B cold email. GDPR applies, but UWG §7 (Gesetz gegen den unlauteren Wettb",https://leadsblue.com/leads/germany-consumer-email-database/
Italy Consumer Email Database,Italy,consumer email list,17000000,15-22%,2-4.5%,Tuesday; Wednesday; Thursday,"Italy follows GDPR, enforced by Garante per la protezione dei dati personali (the Garante). Italy takes a stricter inter",https://leadsblue.com/leads/italy-consumer-email-database/
New Zealand Consumer Mailing List,New Zealand,consumer email list,2900000,18-26%,3-6.5%,Tuesday; Wednesday; Thursday,New Zealand's Unsolicited Electronic Messages Act (UEMA 2007) requires consent (express or inferred) for commercial elec,https://leadsblue.com/leads/newzealand-consumer-email-database/
South Africa Consumer Email List,South Africa,consumer email list,8500000,19-28%,3-6.5%,Tuesday; Wednesday; Thursday,POPIA (Protection of Personal Information Act) became fully effective July 2021. The Act permits direct marketing via em,https://leadsblue.com/leads/southafrica-consumer-email-database/
Spain Consumer Email Database,Spain,consumer email list,13000000,16-23%,2.5-5%,Tuesday; Wednesday; Thursday,"Spain follows GDPR, enforced by AEPD (Agencia Española de Protección de Datos). Spain's LSSI-CE (Law on Information Soci",https://leadsblue.com/leads/spain-consumer-email-database/
Switzerland Consumer Mailing List,Switzerland,consumer email list,4500000,14-21%,2.5-5%,Tuesday; Wednesday; Thursday,Switzerland's new Federal Act on Data Protection (nFADP) came into force in September 2023 and closely aligns with GDPR ,https://leadsblue.com/leads/switzerland-consumer-email-database/
UAE Consumer Email List,United Arab Emirates,consumer email list,5800000,,,,,https://leadsblue.com/leads/uae-consumer-email-database/
Austria Consumer Email Database,Austria,consumer email list,5500000,14-21%,2-5%,Tuesday; Wednesday; Thursday,"Austria follows GDPR, enforced by the DSB (Datenschutzbehörde — Austrian Data Protection Authority). Austria's TKG 2021 ",https://leadsblue.com/leads/austria-consumer-email-database/
Brazil Consumer Email List,Brazil,consumer email list,45000000,17-25%,3-6%,Tuesday; Wednesday; Thursday,Brazil's LGPD (Lei Geral de Proteção de Dados Pessoais) mirrors GDPR in structure and was fully effective from August 20,https://leadsblue.com/leads/brazil-consumer-email-database/
